started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:04:14.535000+00:00,2023-12-01 06:07:43.186000+00:00,208,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2023-12-01 06:04:48.282000+00:00,2023-12-01 06:07:52.101000+00:00,183,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275
2023-12-01 06:06:33.369000+00:00,2023-12-01 06:09:58.606000+00:00,205,1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2023-12-01 06:08:31.812000+00:00,2023-12-01 06:21:01.352000+00:00,749,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735
2023-12-01 06:08:39.676000+00:00,2023-12-01 07:23:28.401000+00:00,4488,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2023-12-01 06:08:53.096000+00:00,2023-12-01 06:11:34.216000+00:00,161,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907
2023-12-01 06:10:11.207000+00:00,2023-12-01 06:18:21.028000+00:00,489,1816,Hansaparken,I gangtunell ved butikk,60.38604412210008,5.349253890141261,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2023-12-01 06:10:29.915000+00:00,2023-12-01 06:21:46.069000+00:00,676,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
2023-12-01 06:10:50.933000+00:00,2023-12-01 06:19:05.386000+00:00,494,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2023-12-01 06:11:00.043000+00:00,2023-12-01 06:13:41.906000+00:00,161,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2023-12-01 06:12:48.709000+00:00,2023-12-01 06:17:58.961000+00:00,310,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2023-12-01 06:12:59.051000+00:00,2023-12-01 06:18:18.391000+00:00,319,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2023-12-01 06:14:01.196000+00:00,2023-12-01 06:22:07.857000+00:00,486,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2023-12-01 06:14:05.908000+00:00,2023-12-01 06:21:35.178000+00:00,449,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2023-12-01 06:14:11.870000+00:00,2023-12-01 06:22:15.097000+00:00,483,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
2023-12-01 06:15:24.007000+00:00,2023-12-01 06:21:00.240000+00:00,336,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2023-12-01 06:16:34.743000+00:00,2023-12-01 06:20:33.113000+00:00,238,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2023-12-01 06:16:39.732000+00:00,2023-12-01 06:27:42.760000+00:00,663,799,HF-Bygget,Sydnesplassen,60.387853713374845,5.318712852428234,1048,Øvre Korskirkeallmenning,På venstre side av allmenning,60.395099485721786,5.328645087376344
2023-12-01 06:17:04.440000+00:00,2023-12-01 06:25:37.026000+00:00,512,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385922875207626,5.321431717819451
2023-12-01 06:18:10.162000+00:00,2023-12-01 06:26:52.902000+00:00,522,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,791,Busstasjonen 4 Sør,Mot ADO,60.387058789354164,5.335633911730724
